gene_id	go_id	GO_LEVEL	METAGO_L2	METAGO_L3	METAGO_L4	METAGO_L5
Pa_6_4786	GO:0070588	10	GO:0051179|GO:0009987	GO:0051234	GO:0006810	GO:0055085|GO:0006811
Pa_6_4790	GO:0003723	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003723
Pa_6_4790	GO:0005739	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4790	GO:0006412	8	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0034641|GO:0043170|GO:1901564	GO:0043603|GO:0009059|GO:1901566|GO:0044271|GO:0019538|GO:0044260
Pa_6_4790	GO:0006520	7	GO:0008152|GO:0009987	GO:0044281|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0006082|GO:1901564	GO:0043436
Pa_6_4790	GO:0016070	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0006139
Pa_6_4790	GO:0016874	3	GO:0003824	GO:0016874	GO:0016874	GO:0016874
Pa_6_480	GO:0005215	2	GO:0005215	GO:0005215	GO:0005215	GO:0005215
Pa_6_480	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_6_480	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4800	GO:0003677	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003677
Pa_6_4800	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4800	GO:0016021	4	GO:0110165	GO:0031224	GO:0016021	GO:0016021
Pa_6_4800	GO:0042162	7	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003677
Pa_6_4800	GO:0042803	5	GO:0005488	GO:0005515	GO:0042802|GO:0046983	GO:0042803
Pa_6_4800	GO:0048037	NA	GO:0005488	GO:0048037	GO:0048037	GO:0048037
Pa_6_4820	GO:0003723	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003723
Pa_6_4820	GO:0016070	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0006139
Pa_6_4820	GO:0050789	3	GO:0065007	GO:0050789	GO:0050789	GO:0050789
