Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_7_3880	1.77	-0.33	-0.39	-0.74	-0.01	0.01	-0.1	0.48	0.19	2.18
Pa_7_3985	-0.37	-0.18	-0.26	0.18	0.9	1.16	0.39	-0.28	-0.35	6.48
Pa_7_4230	0.72	1.65	-0.1	0.05	-0.05	-0.27	-0.49	-0.72	0.09	2.38
Pa_7_4240	0.46	1.71	-0.49	-0.08	-0.58	0.08	-0.86	-1.3	0.59	2.77
Pa_7_4500	-0.21	-0.14	-0.28	-0.18	0.11	0.09	-0.09	0.45	1.17	4.8
Pa_7_50	0	-0.05	-0.11	-0.08	0.02	0.24	0.06	0	-0.02	6.69
Pa_7_5110	0.09	0.64	0.33	-0.09	-0.13	-0.2	-0.23	-0.1	0.15	4.04
Pa_7_5510	0.02	-0.43	-0.51	-0.15	0.07	-0.02	0.17	0.06	-0.25	4.24
Pa_7_5640	-0.02	-0.09	-0.11	-0.14	-0.05	0.18	0.02	0.07	0.41	6.6
Pa_7_9265	-0.4	-0.07	0.05	0.3	0.16	-0.05	-0.39	-0.51	0.44	2.12
